ชื่อ_อำเภอ,ชื่อ_หน่วยงาน,งบประมาณ_ปี_2564,งบประมาณ_ปี_2565,งบประมาณ_ปี_2566,งบประมาณ_ปี_2567,งบประมาณ_ปี_2568,รวม_งบประมาณที่สนับสนุน(ห้ามแก้ไข)
เมืองระยอง,รพ.ระยอง,"1,263,800",0,"398,600","500,000",0,"฿2,162,400.00"
เมืองระยอง,รพ.เฉลิมพระเกียรติฯ,"73,500",0,"499,680",0,0,"฿573,180.00"
เมืองระยอง,สสอ.เมืองระยอง,0,0,0,"482,400",0,"฿482,400.00"
เมืองระยอง,รพ.สต.กะเฉด_(ครั้งที่_1),0,0,"50,000","99,500","91,600","฿241,100.00"
เมืองระยอง,รพ.สต.กะเฉด_(ครั้งที่_2),0,0,0,0,"76,970","฿76,970.00"
เมืองระยอง,รพ.สต.แกลง,0,0,0,"94,900","99,400","฿194,300.00"
เมืองระยอง,รพ.สต.คลองบางไผ่,0,0,0,"50,800",0,"฿50,800.00"
เมืองระยอง,รพ.สต.ก้นหนอง,0,0,0,"98,900",0,"฿98,900.00"
เมืองระยอง,รพ.สต.เพ,0,0,0,0,"100,000","฿100,000.00"
เมืองระยอง,รพ.สต.บ้านยายจั่น,0,0,0,0,92300,"฿92,300.00"
เมืองระยอง,รพ.สต.บ้้านเกาะเสม็ด,0,0,0,0,92300,"฿92,300.00"
เมืองระยอง,ศูนย์บริการสาธารณสุข_ทน.ระยอง,0,0,0,0,461300,"฿461,300.00"
นิคมพัฒนา,รพ.นิคมพัฒนา,"165,750","498,500",0,"499,100",498600,"฿1,661,950.00"
นิคมพัฒนา,สสอ.นิคมพัฒนา_(ครั้งที่_1),0,0,0,494900,0,"฿494,900.00"
นิคมพัฒนา,สสอ.นิคมพัฒนา_(ครั้ั้งที่_2),0,0,0,450700,0,"฿450,700.00"
นิคมพัฒนา,รพ.สต.บ้านกระเฉท,0,0,0,"96,000",99300,"฿195,300.00"
บ้านค่าย,รพ.บ้านค่าย,0,"208,280","500,000",0,0,"฿708,280.00"
บ้านค่าย,สสอ.บ้านค่าย,0,0,0,"487,700",0,"฿487,700.00"
บ้านค่าย,รพ.สต.หนองสะพาน,0,0,0,"97,700","99,440","฿197,140.00"
บ้านค่าย,รพ.สต.เนินสว่าง,0,0,0,0,"96,000","฿96,000.00"
บ้านค่าย,รพ.สต.บ้านหนองพะวา,0,0,0,0,84500,"฿84,500.00"
บ้านฉาง,รพ.บ้านฉาง_(ครั้งที่_1),"1,453,000","348,850","499,700","499,600","500,000","฿3,301,150.00"
บ้านฉาง,รพ.บ้านฉาง_(ครั้ั้งที่_2),0,0,"499,600",0,0,"฿499,600.00"
บ้านฉาง,สสอ.บ้านฉาง_(ครั้งที่_1),0,0,"499,400",491400,"490,500","฿1,481,300.00"
บ้านฉาง,สสอ.บ้านฉาง_(ครั้ั้งที่_2),0,0,0,479400,0,"฿479,400.00"
บ้านฉาง,ศูนย์บริการสาธารณสุข_อบต.สำนักท้อน,0,0,0,"390,840",0,"฿390,840.00"
บ้านฉาง,รพ.สต.บ้านสระแก้ว,0,0,0,0,"83,300","฿83,300.00"
บ้านฉาง,รพ.สต.สำนักท้อน,0,0,0,0,97600,"฿97,600.00"
บ้านฉาง,รพ.สต.บ้านยายร้า,0,0,0,0,99200,"฿99,200.00"
บ้านฉาง,รพ.สต.บ้านเขาครอก,0,0,0,0,58100,"฿58,100.00"
บ้านฉาง,รพ.สต.บ้านหนองน้ำเย็น,0,0,0,0,98800,"฿98,800.00"
เขาชะเมา,รพ.เขาชะเมาฯ,"467,700",0,"467,700",0,0,"฿935,400.00"
เขาชะเมา,รพ.สต.บ้านชำฆ้อ,0,0,0,0,"93,100","฿93,100.00"
เขาชะเมา,รพ.สต.แสงส่องหล้า_2,0,0,0,0,"99,800","฿99,800.00"
เขาชะเมา,รพ.สต.บ้านเขาน้อย,0,0,0,0,92750,"฿92,750.00"
