รหัส_หน่วยงาน,ประเภท_หน่วยงาน,ชื่อ_หน่วยงาน,ชื่อ_ตำบล,ชื่อ_อำเภอ,ชื่อ_จังหวัด,link_google_map,"location_ละติจูด,ลองติจูด",เบอร์โทร
workplace_01,โรงพยาบาล,รพ.ระยอง,ท่าประดู่,เมืองระยอง,ระยอง,https://maps.app.goo.gl/x7ypYXDBCfHKyqUm8,"12.682343930486097, 101.27646736661339",038611104
workplace_02,โรงพยาบาล,รพ.เฉลิมพระเกียรติฯ,ห้วยโป่ง,เมืองระยอง,ระยอง,https://maps.app.goo.gl/FwZBL9JLZx3am5es8,"12.730778689288242, 101.13640289479227",038684444
workplace_03,สำนักงานสาธารณสุขอำเภอ,สสอ.เมืองระยอง,เนินพระ,เมืองระยอง,ระยอง,https://maps.app.goo.gl/PtQ8f3tvGSG9rJjYA,"12.683185443810654, 101.23726757301519",038614435
workplace_04,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.กะเฉด,มาบข่า,เมืองระยอง,ระยอง,https://maps.app.goo.gl/scSrzCWTTkBhvGpV9,"12.728167938049491, 101.4886191452093",038634222
workplace_05,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.แกลง,แกลง,เมืองระยอง,ระยอง,https://maps.app.goo.gl/verN7HsCeySiZ3faA,"12.642402705683493, 101.50611353711909",038648588
workplace_06,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.คลองบางไผ่,สำนักท้อน,เมืองระยอง,ระยอง,https://maps.app.goo.gl/H7iiJYeoTkRXnH2m6,"12.705311376448984, 100.99660713897123",
workplace_07,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.ก้นหนอง,บ้านแลง,เมืองระยอง,ระยอง,https://maps.app.goo.gl/7nVEntNKHYvVV9vp8,"12.68576157227474, 101.3416066957629",038626275
workplace_08,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.บ้านยายจั่น,สำนักทอง,เมืองระยอง,ระยอง,https://maps.app.goo.gl/SQMfH9MwNhP9Qm4z7,"12.706764241271792, 101.47026336780704",
workplace_09,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.เพ,เพ,เมืองระยอง,ระยอง,https://maps.app.goo.gl/z3iCVyfTLEJD7f1t8,"12.621489409622582, 101.4280203217753",038652613
workplace_10,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.บ้านเกาะเสม็ด,เพ,เมืองระยอง,ระยอง,https://maps.app.goo.gl/RKzc8of4Nk99vjEv7,"12.570627379082836, 101.46451125061039",038644123
workplace_11,ศูนย์บริการสาธารณสุข,ศูนย์บริการสาธารณสุข_ทน.ระยอง,ท่าประดู่,เมืองระยอง,ระยอง,https://maps.app.goo.gl/EQr4U3K9r1Qe6TH39,"12.67512699403195, 101.2786500175189",038610124
workplace_12,โรงพยาบาล,รพ.นิคมพัฒนา,มะขามคู่,นิคมพัฒนา,ระยอง,https://maps.app.goo.gl/ERYrvujia4nK2wgD8,"12.870213492078301, 101.14226099479453",038038050
workplace_13,สำนักงานสาธารณสุขอำเภอ,สสอ.นิคมพัฒนา,นิคมพัฒนา,นิคมพัฒนา,ระยอง,https://maps.app.goo.gl/5NKEDpWrN89q66Ca8,"12.829934046069479, 101.20510765246566",038636827
workplace_14,โรงพยาบาลส่งเสริมสุขภาพตำบล,รพ.สต.บ้านกระเฉท,มาบข่า,นิคมพัฒนา,ระยอง,https://maps.app.goo.gl/A2MjCJzWPmWBJT8FA,"12.76607023282771, 101.21294122362862",038637917
workplace_15,โรงพยาบาล,รพ.บ้านฉาง,พลา,บ้านฉาง,ระยอง,https://maps.app.goo.gl/iWzbo3darsCvDLTu6,"12.726148758394098, 101.04331499479218",038603838
workplace_16,สำนักงานสาธารณสุขอำเภอ,สสอ.บ้านฉาง,พลา,บ้านฉาง,ระยอง,https://maps.app.goo.gl/VXphNcYcm546hPsH6,"12.719336674255372, 101.04304869479213",038601142
