ลำดับ,รหัส_อุปกรณ์,รายการ
1,Equip_01,เครื่องช่วยเดินชนิด_4_ขา_(walker)
2,Equip_02,เครื่องช่วยเดินชนิด_4_ขา_(walker)_แบบพับได้
3,Equip_03,เครื่องดูดเสมหะ_(suction)
4,Equip_04,เครื่องผลิตออกซิเจน_ขนาด_5_ลิตร
5,Equip_05,เครื่องผลิตออกซิเจน_ขนาด_10_ลิตร
6,Equip_06,เตียงผู้ป่วยเฟาว์เล่อร์แบบ_3_ไก_(แบบ_ก)
7,Equip_07,เตียงผู้ป่วยเฟาว์เล่อร์แบบ_2_ไก_(แบบ_ข)
8,Equip_08,เตียงผู้ป่วยสามไกร์ราวปีกนก_พร้อมเบาะและเสาน้ำเกลือ
9,Equip_09,เตียงผู้ป่วยสามไกร์ราวสไลด์_พร้อมเบาะและเสาน้ำเกลือ
10,Equip_10,เตียงฝึกยืนสำหรับเด็ก
11,Equip_11,เตียงฝึกยืนสำหรับผู้ใหญ่
12,Equip_12,เตียงผู้ป่วยปรับด้วยไฟฟ้า
13,Equip_13,ที่นอนลมแบบรังผึ้ง
14,Equip_14,ที่นอนลมแบบลอน_(ใหญ่)
15,Equip_15,ที่นั่งสำหรับถ่ายและอาบน้ำได้
16,Equip_16,เบาะรองนั่งป้องกันแผลกดทับ
17,Equip_17,เบาะรองนั่งสำหรับคนพิการ
18,Equip_18,แผ่นรองตัวสำหรับผู้ป่วยอัมพาตหรือที่นอนลม
19,Equip_19,ไม้ค้ำยันรักแร้แบบไม้
20,Equip_20,ไม้ค้ำยันรักแร้แบบอลูมิเนียม
21,Equip_21,ไม้เท้า_1_ปุ่ม
22,Equip_22,ไม้เท้าสำหรับคนตาบอดพับได้
23,Equip_23,ไม้เท้าอลูมิเนียมแบบสามขา
24,Equip_24,รถเข็นนั่งปรับเอนได้
25,Equip_25,รถเข็นแบบชนิดเบา
26,Equip_26,รถนั่งคนพิการชนิดพับได้ทำด้วยโลหะแบบปรับไม่ได้
27,Equip_27,รถนั่งคนพิการชนิดพับได้ทำด้วยโลหะแบบปรับให้เหมาะสมกับความพิการได้
28,Equip_28,รถสามล้อโยกมาตรฐานสำหรับคนพิการ
29,Equip_29,พุชอัพบ็อก_(push_up_box)
