ปี_งบประมาณ,ชื่อ_อำเภอ,ชื่อ_หน่อยบริการ, จำนวนเงิน ,ชื่อ_โครงการ,สถานะ_รายงานผล
2565,เขาชะเมา,รพ.เขาชะเมาฯ," ฿ 91,040 ",โครงการพัฒนาเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ และผู้สูงอายุที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพอำเภอเขาชะเมา ประจำปีงบประมาณ 2565,เสร็จเรียบร้อย
2566,เขาชะเมา,รพ.เขาชะเมาฯ," ฿ 99,080 ",โครงการพัฒนาเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพอำเภอเขาชะเมา ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,ปลวกแดง,รพ.ปลวกแดง," ฿ 99,900 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลปลวกแดง อำเภอปลวกแดง ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,แกลง,รพ.แกลง," ฿ 79,870 ",โครงการพัฒนาเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพอำเภอแกลงประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,แกลง,รพ.สต.กองดิน," ฿ 69,090 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ ผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลกองดิน อำเภอแกลง จังหวัดระยอง ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,บ้านฉาง,รพ.บ้านฉาง," ฿ 99,800 ",โครงการพัฒนาเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพอำเภอบ้านฉางประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,เมือง,รพ.สต.กะเฉด," ฿ 49,870 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลกะเฉด อำเภอเมือง จังหวัดระยอง ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,แกลง,รพ.สต.บ้านนา," ฿ 67,460 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนา อำเภอแกลง จังหวัดระยอง ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,เมืองระยอง,รพ.ระยอง," ฿ 74,832 ",โครงการอบรมเชิงปฏิบัติการ เรื่อง Physical Therapy In Management BPPV in elderly (การจัดการตะกอนหินปูนในผู้สูงอายุ) ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2566,วังจันทร์,รพ.สต.บ้านวังจันทร์," ฿ 57,400 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังจันทร์ อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2566,เสร็จเรียบร้อย
2567,วังจันทร์,รพ.สต.บ้านวังจันทร์," ฿ 47,650 ",โครงการพัฒนาศักยภาพเครือข่ายบริการเพื่อฟื้นฟูสมรรถภาพผู้พิการ ผู้สูงอายุ และผู้ที่อยู่ในระยะที่จำเป็นต้องได้รับการฟื้นฟูสมรรถภาพ โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังจันทร์ อำเภอวังจันทร์ จังหวัดระยอง ประจำปีงบประมาณ 2567,เสร็จเรียบร้อย
