สถานที่_อำเภอ,หน่วยงาน_ที่ตั้งศูนย์ซ่อม,กลุ่ม_อุปกรณ์ที่พร้อมให้บริการ,รายการ_อุปกรณ์,อุปกรณ์_หน่วย,จัดซื้อ_ปี66,เบิกจ่าย_ปี66,ยอดสุทธิ_ปี66(ห้ามแก้ไข),จัดซื้อ_ปี67,รวมก่อนเบิก_ปี67(ห้ามแก้ไข),เบิกจ่าย_ปี67,ยอดสุทธิ_ปี67(ห้ามแก้ไข),จัดซื้อ_ปี68_ระยะ1,จัดซื้อจากฟอร์ม_68_ร1,รวมก่อนเบิก_ปี68_ระยะ1(ห้ามแก้ไข),เบิกจ่าย_ปี68_ระยะ1,เบิกจ่าย_จากฟอร์ม_68_ร1,ยอดคงเหลือ_ปี68_ระยะ1(ห้ามแก้ไข),จัดซื้อ_ปี68_ระยะ2,จัดซื้อ_จากฟอร์ม_68_ร2,รวมก่อนเบิก_ปี68_ระยะ2(ห้ามแก้ไข),เบิกจ่าย_ปี68_ระยะ2,เบิกจ่าย_จากฟอร์ม_68_ร2,ยอดสุทธิ_ปี68(ห้ามแก้ไข),จัดซื้อ_ปี69,จัดซื้อ_จากฟอร์ม_69,รวมก่อนเบิก_ปี69(ห้ามแก้ไข),เบิกจ่าย_ปี69,เบิกจ่าย_จากฟอร์ม_69,ยอดสุทธิ_ปี69(ห้ามแก้ไข),,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,เบาะนั่ง วีลแชร์,ชุด,30,0,30,0,30,10,20,0,0,20,0,0,20,,0,20,,0,20,,0,20,,0,20,,,,,,,,,,,,,pitpimol7130@gmail.com,27/04/2026 11:57:11
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,พนักพิงหลัง วีลแชร์,ชุด,30,0,30,0,30,9,21,0,0,21,0,0,21,,0,21,,0,21,,0,21,,0,21,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,ทรายซิลิก้า ขนาด 3 กิโลกรัม,ถุง,25,0,25,0,25,20,5,0,0,5,0,0,5,,0,5,,0,5,,0,5,,0,5,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,สีกันสนิม ขนาด 17.5 ลิตร,ถัง,3,0,3,0,3,1,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,สีสเปรย์กันสนิม,กระป๋อง,22,0,22,0,22,20,2,0,0,2,0,0,2,,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,รถวีลแชร์,พักแขน ชนิดปรับน็อตยึดได้,คู่,25,0,25,0,25,19,6,0,0,6,0,0,6,,0,6,,0,6,,0,6,,0,6,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ทรายซิลิก้า ขนาด 6 กิโลกรัม,ถุง,17,0,17,0,17,17,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ไกร์หัวเตียง,ชิ้น,17,0,17,0,17,17,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ไกร์ท้ายเตียง,ชิ้น,17,0,17,0,17,17,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,
เมืองระยอง,องค์การบริหารส่วนตำบลตะพง,เตียงคนไข้,ล้อยางดำ ตราม้า ชนิดเบรค 4 นิ้ว,ล้อ,50,0,50,0,50,28,22,0,0,22,0,0,22,,0,22,,0,22,,0,22,,0,22,,,,,,,,,,,,,,
