ปี_งบประมาณ,ชื่อ_หน่วยงาน,วันที่_ส่งโครงการฯ,วันที่_อนุมัติ,วันที่_ทำMOU,วันที่_รับเช็ค,วันที่_ส่งรายงานผล,งบประมาณ_จำนวนเงิน,หมายเหตุ
2566,องค์การบริหารส่วนตำบลตะพง,25 ก.ค. 2023,25 ก.ค. 2023,11 ส.ค. 2023,25 ส.ค. 2023,28 ก.ย. 2023," ฿ 497,500 ","คืนเงิน 12,109.- เมื่อวันที่ 29 ก.ย. 66 เลขที่ใบเสร็จ 026 (รายงานไตรมาส 1-2 ปี67 แล้ว)"
2567,เทศบาลตำบลเพ,1 ธ.ค. 2023,15 ม.ค. 2024,13 ก.พ. 2024,22 มี.ค. 2024,30 ก.ย. 2024," ฿ 499,485 ",
2567,เทศบาลตำบลบ้านค่ายพัฒนา,15 ธ.ค. 2023,15 ม.ค. 2024,13 ก.พ. 2024,29 มี.ค. 2024,16 ก.ย. 2024," ฿ 497,500 ",รายงานรอบที่ 2 วันที่ 4 ต.ค. 67
2567,องค์การบริหารส่วนตำบลทุ่งควายกิน,22 ก.พ. 2024,21 มี.ค. 2024,26 มี.ค. 2024,10 เม.ย. 2024,24 ก.ย. 2024," ฿ 499,485 ","คืนเงิน 1,900.- เมื่อวันที่ 24 ก.ย. 67 เลขที่ใบเสร็จ 032"
2567,องค์การบริหารส่วนตำบลน้ำเป็น,21 มี.ค. 2024,10 เม.ย. 2024,22 เม.ย. 2024,13 พ.ค. 2024,3 ธ.ค. 2024," ฿ 497,500 ",
2567,องค์การบริหารส่วนตำบลวังหว้า,21 มี.ค. 2024,10 เม.ย. 2024,22 เม.ย. 2024,8 พ.ค. 2024,30 ก.ย. 2024," ฿ 497,500 ",
2567,เทศบาลตำบลชุมแสง,25 มี.ค. 2024,10 เม.ย. 2024,22 เม.ย. 2024,9 พ.ค. 2024,10 ก.ย. 2024," ฿ 497,500 ",
2567,เทศบาลตำบลมะขามคู่,26 มี.ค. 2024,10 เม.ย. 2024,22 เม.ย. 2024,8 พ.ค. 2024,25 ก.ย. 2024," ฿ 497,500 ",
2567,องค์การบริหารส่วนตำบลแม่น้ำคู้,25 มิ.ย. 2024,16 ก.ค. 2024,9 ส.ค. 2024,3 ก.ย. 2024,2 ม.ค. 2025," ฿ 499,485 ","คืนเงิน 1,600.- เมื่อวันที่ 15 ม.ค. 68 เลขที่ใบเสร็จ 009"
2567,องค์การบริหารส่วนตำบลตะพง,,,,,2 ต.ค. 2024, - ,รายงานผลต่อเนื่องจากปี 66 แล้ว
2568,เทศบาลตำบลเพ,15 พ.ย. 2024,20 ธ.ค. 2024,15 ม.ค. 2025,23 ม.ค. 2025,18 ก.ค. 2025," ฿ 499,855 ",
2568,องค์การบริหารส่วนตำบลทุ่งควายกิน,15 พ.ย. 2024,20 ธ.ค. 2024,15 ม.ค. 2025,23 ม.ค. 2025,17 ก.ค. 2025," ฿ 496,865 ",
2568,เทศบาลตำบลบ้านค่ายพัฒนา,21 พ.ย. 2024,20 ธ.ค. 2024,15 ม.ค. 2025,22 ม.ค. 2025,4 ก.ค. 2025," ฿ 499,020 ",
2568,โรงพยาบาลบ้านฉาง,22 พ.ย. 2024,20 ธ.ค. 2024,15 ม.ค. 2025,24 ม.ค. 2025,," ฿ 498,650 ",
2568,เทศบาลตำบลมะขามคู่,20 ก.พ. 2025,12 มี.ค. 2025,2 เม.ย. 2025,11 เม.ย. 2025,1 ส.ค. 2025," ฿ 493,930 ",
2568,องค์การบริหารส่วนตำบลทุ่งควายกิน,17 ก.ค. 2025,29 ก.ค. 2025,15 ส.ค. 2025,,," ฿ 492,330 ",ระยะ 2 ขอขยายเวลาถึงเดือนธันวาคม 68
2568,องค์การบริหารส่วนตำบลตะพง,17 ก.ค. 2025,,,,, - ,รายงานผลต่อเนื่องจากปี 67 ยกเลิกการของบโครงการ ปี 68
2568,องค์การบริหารส่วนตำบลน้ำเป็น,,,,,, - ,รายงานผลต่อเนื่องจากปี 67 
2568,องค์การบริหารส่วนตำบลวังหว้า,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
2568,เทศบาลตำบลชุมแสง,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
2568,องค์การบริหารส่วนตำบลแม่น้ำคู้,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
2568,เทศบาลตำบลเพ,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
2568,เทศบาลตำบลบ้านค่ายพัฒนา,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
2568,องค์การบริหารส่วนตำบลทุ่งควายกิน,,,,,, - ,รายงานผลต่อเนื่องจากปี 67 และปี 68 ระยะ 1
2568,เทศบาลตำบลมะขามคู่,,,,,, - ,รายงานผลต่อเนื่องจากปี 67
